Year,Species.Group,Source,Species,Harvest,Landed Value,Wholesale Value
2019,Invertebrates,Wild commercial,"Sea cucumbers, wild",1.69,9.87,12.3
2019,Invertebrates,Wild commercial,"Sea urchins green, wild",0.24,1.23,1.98
2019,Invertebrates,Wild commercial,"Sea urchins red, wild",2.93,7.08,24.13
2019,Invertebrates,Wild commercial,"Shrimp, wild",0.96,3.89,16.65
2019,Other seafood,Farmed,"Other, farmed",1.72,19.22,40.64
2019,Other seafood,Wild commercial,"Other, wild",0.53,0.16,37.7
2019,Other seafood,Wild commercial,"Tuna, wild",2.4,11.62,38.42
2019,Salmon,Farmed,Atlantic,86.49,635.28,706.98
2019,Salmon,Farmed,Pacific,2.39,32.33,43.02
2019,Salmon,Wild commercial,Chinook,1.35,7.88,16.2
2019,Salmon,Wild commercial,Chum,1.19,2.84,15.11
2019,Salmon,Wild commercial,Coho,0.63,3.96,24.28
2019,Salmon,Wild commercial,"Other salmon products, wild",,,3.34
2019,Salmon,Wild commercial,Pink,1.45,0.78,7.41
2019,Salmon,Wild commercial,Sockeye,0.18,0.95,87.35
2018,Groundfish,Wild commercial,"Arrowtooth flounders, wild",9.46,6.81,17.5
2018,Groundfish,Wild commercial,"Hake, wild",102.24,51.33,97.2
2018,Groundfish,Wild commercial,"Halibut, wild",3.33,46.43,65.9
2018,Groundfish,Wild commercial,"Lingcod, wild",1.09,7.42,10.42
2018,Groundfish,Wild commercial,"Other groundfish, wild",0.26,0.38,7.37
2018,Groundfish,Wild commercial,"Pacific cod, wild",0.28,0.5,5.9
2018,Groundfish,Wild commercial,"Pollock, wild",3.36,1.23,3.75
2018,Groundfish,Wild commercial,"Rockfish, wild",15.82,20.57,45.49
2018,Groundfish,Wild commercial,"Sablefish, wild",2.3,29.34,32.72
2018,Groundfish,Wild commercial,"Skates, wild",0.3,0.32,0.4
2018,Groundfish,Wild commercial,"Soles, wild",3.05,3.54,9.27
2018,Herring,Wild commercial,"Herring food, bait & other, wild",5.59,0.93,16.01
2018,Herring,Wild commercial,"Herring spawn-on-kelp, wild",0.15,4.28,0.45
2018,Herring,Wild commercial,"Roe herring, wild",13.58,9.77,38.86
2018,Invertebrates,Farmed,"Geoducks & other clams, farmed",1.16,8.7,10.78
2018,Invertebrates,Farmed,"Mussels & other invertebrates, farmed",0.58,3.43,4.89
2018,Invertebrates,Farmed,"Oysters, farmed",7.19,14.11,23.62
2018,Invertebrates,Wild commercial,"Clams (excl. geoducks), wild",0.37,1.42,13.17
2018,Invertebrates,Wild commercial,"Crabs, wild",4.79,60.47,113.54
2018,Invertebrates,Wild commercial,"Geoducks, wild",1.38,50.27,47.54
2018,Invertebrates,Wild commercial,"Other invertebrates, wild",0.13,0.31,14.01
2018,Invertebrates,Wild commercial,"Prawns, wild",1.66,49.1,58.12
2018,Invertebrates,Wild commercial,"Sea cucumbers, wild",1.69,8.75,12.47
2018,Invertebrates,Wild commercial,"Sea urchins green, wild",0.24,1.3,3.21
2018,Invertebrates,Wild commercial,"Sea urchins red, wild",2.67,6.26,19.11
2018,Invertebrates,Wild commercial,"Shrimp, wild",0.43,2.24,5.16
2018,Other seafood,Farmed,"Other, farmed",1.83,19.89,39.86
2018,Other seafood,Wild commercial,"Other, wild",0.94,0.07,19.32
2018,Other seafood,Wild commercial,"Tuna, wild",2.72,14.57,46.04
2018,Salmon,Farmed,Atlantic,84.45,743.31,836.18
2018,Salmon,Farmed,Pacific,2.56,35.35,45.83
2018,Salmon,Wild commercial,Chinook,1.15,10.88,17.75
2018,Salmon,Wild commercial,Chum,4.15,13.41,31.28
2018,Salmon,Wild commercial,Coho,0.74,3.83,27.27
2018,Salmon,Wild commercial,"Other salmon products, wild",,,1.66
2018,Salmon,Wild commercial,Pink,0.62,0.58,5.34
2018,Salmon,Wild commercial,Sockeye,11.35,63.31,176.27
2017,Groundfish,Wild commercial,"Arrowtooth flounders, wild",10.11,9.99,18
2017,Groundfish,Wild commercial,"Dogfish, wild",0.1,0.01,0.07
2017,Groundfish,Wild commercial,"Hake, wild",88.11,42.81,60.25
